í≤ç∏îÕàÕ,óßñÿî‘çÜ,ãπçÇíºåa[cm],2cmäáñÒãπçÇíºåa[cm],é˜çÇ[m],ñÓçÇ[cm],çﬁêœ[m3],2cmäáñÒçﬁêœ[m3],ÉoÉCÉIÉ}ÉX[kg],ÉoÉCÉIÉ}ÉXÅi2cmäáñÒÅj[kg],é˜éÌ,ÉXÉeÅ[É^ÉX,ä‘î∞,Éå,ã´äEñÿ,èúäO,ÉtÉBÉãÉ^,ÉRÉÅÉìÉg,ä≤é¸[cm],X,Y,Z,ID,åoìxÅiê¢äEë™ínånÅj,à‹ìxÅiê¢äEë™ínånÅj,ïΩX[m]Åiê¢äEë™ínånÅj,ïΩY[m]Åiê¢äEë™ínånÅj,åoìxÅiì˙ñ{ë™ínånÅj,à‹ìxÅiì˙ñ{ë™ínånÅj,ïΩX[m]Åiì˙ñ{ë™ínånÅj,ïΩY[m]Åiì˙ñ{ë™ínånÅj,é˜ä•îºåa[m],ä‘î∞óvî€
,-1,19.6,20,14,1.5,0.2138,0.2199,103.22,106.19,ÉXÉM,ê∂óßñÿ,,,,,,,61.5,-8.2,-22.92,-3.95,63,139.1352647,35.72883679,-29859.661,-63149.389,139.6257365,35.2563305,-30214.699,-62858.605,3.5,-
,-1,35.7,36,18.5,0.9,0.8761,0.8867,422.98,428.08,ÉXÉM,ê∂óßñÿ,,,,,,,112.1,-3.01,4.38,-1.58,26,139.1353617,35.72907442,-29833.359,-63140.426,139.6257366,35.2563306,-30188.398,-62849.641,5,-
,-1,34.1,34,19.1,0.9,0.8216,0.8164,396.65,394.16,ÉXÉM,ê∂óßñÿ,,,,,,,107.1,-0.71,-10.2,-1.81,69,139.1353656,35.72894147,-29848.113,-63140.185,139.6257367,35.2563307,-30203.15,-62849.401,4.9,-
,-1,28.3,28,17.7,1.8,0.5307,0.5191,256.23,250.63,ÉXÉM,ê∂óßñÿ,,,,,,,88.9,0.72,-10.96,-0.81,72,139.13538,35.72893291,-29849.072,-63138.881,139.6257368,35.2563308,-30204.109,-62848.097,4.4,-
,-1,30,30,19.7,0.9,0.6608,0.657,319.02,317.18,ÉXÉM,ê∂óßñÿ,,,,,,,94.2,-3.73,9.86,0.78,22,139.1353619,35.72912427,-29827.829,-63140.368,139.6257369,35.2563309,-30182.867,-62849.583,4.5,-
,-1,47.8,48,15,1.7,1.0765,1.0804,519.73,521.61,ÉXÉM,ê∂óßñÿ,,,,,,,150.1,4.32,-14.67,2.79,74,139.135414,35.7288955,-29853.243,-63135.837,139.625737,35.256331,-30208.282,-62845.053,6,-
,-1,34.7,34,19.3,1.9,0.8589,0.824,414.68,397.85,ÉXÉM,ê∂óßñÿ,,,,,,,109,2.97,-7.67,0.33,76,139.1354096,35.7289596,-29846.129,-63136.188,139.6257371,35.2563311,-30201.167,-62845.403,5,-
,-1,35.9,36,18.1,0.9,0.8673,0.8695,418.72,419.79,ÉXÉM,ê∂óßñÿ,,,,,,,112.7,3.15,-5.68,0.31,77,139.1354145,35.72897717,-29844.183,-63135.73,139.6257372,35.2563312,-30199.221,-62844.945,5.1,-
,-1,19.5,20,16.2,3.2,0.2452,0.2548,118.41,123.03,ÉXÉM,ê∂óßñÿ,,,,,,,61.2,3.2,-4.04,0.29,79,139.1354174,35.72899175,-29842.568,-63135.452,139.6257373,35.2563313,-30197.605,-62844.668,3.5,-
,-1,35.9,36,16.6,0.7,0.8031,0.8047,387.72,388.52,ÉXÉM,ê∂óßñÿ,,,,,,,112.7,6.28,-6.33,2.41,80,139.1354478,35.72896765,-29845.261,-63132.723,139.6257374,35.2563314,-30200.299,-62841.939,5.1,-
,-1,40.4,40,23.1,1.1,1.3543,1.3275,653.84,640.89,ÉXÉM,ê∂óßñÿ,,,,,,,126.9,0.94,-0.74,-0.72,81,139.1353975,35.72902396,-29838.98,-63137.228,139.6257375,35.2563315,-30194.019,-62846.444,5.4,-
